Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,IEP 4Yr Cohort Grad 17-18,IEP 4Yr Cohort Grad 17-18 Target,IEP 5Yr Cohort Grad 17-18,IEP 5Yr Cohort Grad 17-18 Target,IEP Dropout 17-18,IEP Dropout 17-18 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2063,Adel SD 21,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2113,Adrian SD 61,42,97.62%,73.00% or more,2.38%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,>95%,95.00%,16.67%,35.00%,20.00%,35.00%,16.67%,35.00%,>95%,95.00%,>95%,95.00%,>95%,95.00%,<5%,32.00%,10.00%,32.00%,<5%,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,100.00%,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1899,Alsea SD 7J,37,70.27%,73.00% or more,8.11%,10.60% or less,0.00%,1.80% or less,66.67%,95.00%,78.57%,95.00%,*,95.00%,<5%,35.00%,<5%,35.00%,*,35.00%,66.67%,95.00%,78.57%,95.00%,*,95.00%,12.50%,32.00%,<5%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2252,Amity SD 4J,127,79.53%,73.00% or more,3.15%,10.60% or less,1.57%,1.80% or less,77.78%,95.00%,80.00%,95.00%,>95%,95.00%,10.71%,35.00%,14.29%,35.00%,<5%,35.00%,80.56%,95.00%,74.29%,95.00%,>95%,95.00%,13.79%,32.00%,11.54%,32.00%,<5%,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,72.22,84.0% or more,84.21%,86.0% or more,3.70%,3.1% or less,25.00%,31.00%,68.75%,55.50%,87.50%,72.00%
2111,Annex SD 29,7,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2005,Arlington SD 3,21,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,>95%,95.00%,*,95.00%,*,35.00%,16.67%,35.00%,*,35.00%,*,95.00%,>95%,95.00%,*,95.00%,*,32.00%,16.67%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2115,Arock SD 81,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2041,Ashland SD 5,329,76.60%,73.00% or more,7.60%,10.60% or less,0.61%,1.80% or less,89.43%,95.00%,94.25%,95.00%,87.50%,95.00%,34.55%,35.00%,23.17%,35.00%,23.81%,35.00%,91.87%,95.00%,94.25%,95.00%,87.50%,95.00%,31.86%,32.00%,18.29%,32.00%,<5%,32.00%,97.75%,100.00%,89.58%,81.23%,*,100.00%,No ,No ,No ,No ,77.14,84.0% or more,90.63%,86.0% or more,3.23%,3.1% or less,50.00%,31.00%,67.86%,55.50%,82.14%,72.00%
2051,Ashwood SD 8,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1933,Astoria SD 1,240,70.83%,73.00% or more,10.42%,10.60% or less,0.83%,1.80% or less,>95%,95.00%,>95%,95.00%,94.12%,95.00%,21.67%,35.00%,7.35%,35.00%,37.50%,35.00%,>95%,95.00%,>95%,95.00%,94.12%,95.00%,23.33%,32.00%,<5%,32.00%,6.25%,32.00%,96.88%,100.00%,96.67%,81.23%,*,100.00%,No ,No ,No ,No ,50,84.0% or more,55.17%,86.0% or more,2.27%,3.1% or less,25.00%,31.00%,25.00%,55.50%,87.50%,72.00%
